"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22766","testClosePage()","","Mon Nov 04 23:53:02 GMT+07:00 2024","passed","Mon Nov 04 23:53:25 GMT+07:00 2024","","SwiftRadioUITests","",""
"","21897","testOpemEmailMeIfWeDontHaveEmail()","","Mon Nov 04 23:53:25 GMT+07:00 2024","passed","Mon Nov 04 23:53:47 GMT+07:00 2024","","SwiftRadioUITests","",""
"","5192","testElementExistOnScreen()","","Mon Nov 04 23:54:39 GMT+07:00 2024","failed","Mon Nov 04 23:54:44 GMT+07:00 2024","","SwiftRadioUITests","",""
"","18862","testOpenStationDetailsByTapOnNowPlayingButton()","","Mon Nov 04 23:54:45 GMT+07:00 2024","passed","Mon Nov 04 23:55:04 GMT+07:00 2024","","SwiftRadioUITests","",""
"","19823","testOpenWebLink()","","Mon Nov 04 23:53:47 GMT+07:00 2024","failed","Mon Nov 04 23:54:07 GMT+07:00 2024","","SwiftRadioUITests","",""
"","20878","testDisplayNowPlayingButton()","","Mon Nov 04 23:54:07 GMT+07:00 2024","passed","Mon Nov 04 23:54:28 GMT+07:00 2024","","SwiftRadioUITests","",""
"","10520","testDisplaySelectedStationInPlayButton()","","Mon Nov 04 23:54:29 GMT+07:00 2024","passed","Mon Nov 04 23:54:39 GMT+07:00 2024","","SwiftRadioUITests","",""
"","33147","testOpenWebsiteFromAppInfo()","","Mon Nov 04 23:52:29 GMT+07:00 2024","failed","Mon Nov 04 23:53:02 GMT+07:00 2024","","SwiftRadioUITests","",""
